transaction_id,date,time,day_of_week,month,quarter,account_id,account_holder,entity_type,sector,originating_bank,account_country,risk_rating,is_pep,counterparty_id,counterparty_bank,counterparty_country,transaction_type,amount_gbp,currency,reference,purpose,fraud_type,is_fraud
TX100000,2023-02-13,16:15:31,Monday,February,Q1,ACC10079,Entity_079,SME,Professional Services,Lloyds,UK,High,0,ACC10102,Monzo,UK,Internal Transfer,627.43,USD,REF77678,Investment,None,0
TX100001,2023-07-30,13:27:25,Sunday,July,Q3,ACC10081,Entity_081,SPV,Construction,Virgin Money,UK,Low,0,ACC10066,TSB,UK,BACS,433.95,GBP,REF51198,Property Purchase,None,0
TX100002,2023-12-08,13:31:14,Friday,December,Q4,ACC10097,Entity_097,Corporate,Finance,Starling,UK,Medium,0,ACC10113,Metro Bank,UAE,Wire Transfer,931.5,GBP,REF33836,Intercompany Transfer,None,0
TX100003,2023-12-25,13:38:59,Monday,December,Q4,ACC10047,Entity_047,SME,Retail,HSBC,UK,Low,0,ACC10017,NatWest,UK,BACS,10000,GBP,REF96374,Property Purchase,Round Number,1
TX100004,2023-11-10,08:00:17,Friday,November,Q4,ACC10017,Entity_017,Individual,Finance,NatWest,UK,Low,0,ACC10040,HSBC,UK,Wire Transfer,425107.58,GBP,REF17126,Consultancy Fee,None,0
TX100005,2023-09-16,08:47:54,Saturday,September,Q3,ACC10066,Entity_066,Corporate,Retail,TSB,UK,Medium,0,ACC10024,Starling,UAE,BACS,4719.99,GBP,REF24949,Repayment,None,0
TX100006,2023-11-07,17:57:03,Tuesday,November,Q4,ACC10090,Entity_090,Individual,Import/Export,Monzo,UK,Medium,0,ACC10006,NatWest,UK,Standing Order,125746.13,AED,REF80571,Loan Payment,None,0
TX100007,2023-02-12,09:02:27,Sunday,February,Q1,ACC10031,Entity_031,SME,Retail,Lloyds,USA,Low,0,ACC10074,HSBC,UK,Internal Transfer,212.51,USD,REF20438,Loan Payment,None,0
TX100008,2023-09-01,15:07:24,Friday,September,Q3,ACC10102,Entity_102,LLP,Finance,Monzo,UK,Low,0,ACC10107,Monzo,UK,Loan Repayment,753.14,GBP,REF34796,Intercompany Transfer,None,0
TX100009,2023-04-19,08:18:32,Wednesday,April,Q2,ACC10022,Entity_022,Corporate,Construction,Santander UK,UK,Low,0,ACC10064,Santander UK,UK,Internal Transfer,5998.1,GBP,REF12860,Repayment,None,0
TX100010,2023-09-10,08:54:00,Sunday,September,Q3,ACC10046,Entity_046,Individual,Manufacturing,Metro Bank,UK,High,0,ACC10095,Starling,UAE,Internal Transfer,9782.02,EUR,REF52489,Investment,Structuring,1
TX100011,2023-05-18,11:59:47,Thursday,May,Q2,ACC10046,Entity_046,Individual,Manufacturing,Metro Bank,UK,High,0,ACC10027,HSBC,UK,FX Settlement,1608.45,GBP,REF38979,Repayment,None,0
TX100012,2023-02-23,14:38:45,Thursday,February,Q1,ACC10095,Entity_095,Charity,Manufacturing,Starling,UAE,Low,0,ACC10081,Virgin Money,UK,Wire Transfer,9922.63,GBP,REF66842,Consultancy Fee,Structuring,1
TX100013,2023-12-20,15:02:10,Wednesday,December,Q4,ACC10023,Entity_023,Trust,Logistics,NatWest,Cyprus,Medium,0,ACC10033,Barclays,Germany,FX Settlement,376386.55,USD,REF87050,Loan Payment,None,0
TX100014,2023-07-21,13:04:20,Friday,July,Q3,ACC10063,Entity_063,SME,Manufacturing,Starling,UK,High,0,ACC10055,NatWest,UK,Standing Order,186.63,GBP,REF65832,Property Purchase,None,0
TX100015,2023-06-09,15:04:51,Friday,June,Q2,ACC10051,Entity_051,SME,Hospitality,TSB,Cyprus,Low,0,ACC10102,Monzo,UK,Loan Disbursement,769.93,USD,REF73805,Loan Payment,None,0
TX100016,2023-08-20,17:23:30,Sunday,August,Q3,ACC10037,Entity_037,Partnership,Technology,Virgin Money,Malta,Low,0,ACC10099,Metro Bank,BVI,SWIFT,217.06,GBP,REF20770,Loan Payment,None,0
TX100017,2023-12-06,18:15:06,Wednesday,December,Q4,ACC10004,Entity_004,SPV,Technology,Starling,UK,Low,0,ACC10045,NatWest,Singapore,Wire Transfer,60536.95,USD,REF20091,Loan Payment,None,0
TX100018,2023-05-22,08:47:27,Monday,May,Q2,ACC10013,Entity_013,SPV,Hospitality,HSBC,UK,Low,0,ACC10099,Metro Bank,BVI,FX Settlement,4754.9,EUR,REF22791,Unknown,None,0
TX100019,2023-07-31,18:06:28,Monday,July,Q3,ACC10055,Entity_055,Charity,Finance,NatWest,UK,Low,0,ACC10061,Lloyds,Netherlands,BACS,8740.93,USD,REF16563,Repayment,None,0
